title,date,creators,source,subjects,source_url,trove_url
"Larrakeyah Barracks Darwin: transcript of doorstop: Coast Guard, Iraq, modernisation, Senator Robert Hill, LNG project, asylum seekers.",2002-08-12,"Crean, Simon; Australian Labor Party",LEADER OF THE OPPOSITION,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/LG576%22,"http://trove.nla.gov.au/version/211246433
"
"Parliament House, Canberra: transcript of press conference: national research priorities; asylum seekers; South East Asian relations; UN Charter.",2002-12-05,"Batterham, Robin; Howard, John; Liberal Party of Australia",PRIME MINISTER,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/ZO286%22,"http://trove.nla.gov.au/version/211250908
"
Transcript of Press Conference: 26 October 2012: Murray-Darling Basin Plan; Maxine McKew; Craig Thomson; Defence force protection measures; Asylum seekers,2012-10-26,"Burke, Tony","MINISTER FOR SUSTAINABILITY, ENVIRONMENT, WATER, POPULATION AND COMMUNITIES",,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2307692%22,"http://trove.nla.gov.au/version/211384181
"
"Another boat, another policy failure.",2009-10-21,"Stone, Sharman; Liberal Party of Australia",SHADOW MINISTER FOR IMMIGRATION AND CITIZENSHIP,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2I0V6%22,"http://trove.nla.gov.au/version/211330378
"
Another boat as Coalition ignores warnings,2012-05-21,"Bowen, Chris",MINISTER FOR IMMIGRATION AND CITIZENSHIP,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2275344%22,"http://trove.nla.gov.au/version/211373494
"
Harradine slams Goverment response to refugee,2001-02-09,"Harradine, Brian","Office of HARRADINE, SEN BRIAN",,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/1ZG36%22,"http://trove.nla.gov.au/version/211220746
"
Minister marks Refugee Day with more lies about refugees.,2002-06-21,"Bartlett, Andrew; Australian Democrats","Office of BARTLETT, SEN ANDREW",,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/6NT66%22,"http://trove.nla.gov.au/version/211241383
"
Greens refugee policy the practical humane method,2010-07-13,"Hanson-Young, Sarah",AUSTRALIAN GREENS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/286570%22,"http://trove.nla.gov.au/version/211341450
"
Refugee sponsorship pilot underway next year,2012-12-15,"Bowen, Chris",MINISTER FOR IMMIGRATION AND CITIZENSHIP,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2113180%22,"http://trove.nla.gov.au/version/211387207
"
Senate backs refugee children over Abbott cruelty,2014-07-16,"Hanson-Young, Sarah",AUSTRALIAN GREENS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3283318%22,"http://trove.nla.gov.au/version/211411088
"
Immigration Department accused of double standards.,2004-05-11,"Harris, Len; One Nation Party (Australia)",PAULINE HANSON'S ONE NATION,Dept of Immigration and Multicultural and Indigenous Affairs; Visas; Girls,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/B2GC6%22,"http://trove.nla.gov.au/version/211265977
"
AUSTCARE Refugee Week highlights achievements in refugee protection.,1999-10-15,"Ruddock, Philip; Liberal Party of Australia",MINISTER FOR IMMIGRATION AND MULTICULTURAL AFFAIRS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3XG06%22,"http://trove.nla.gov.au/version/211477887
"
Budget 2014: Government success stopping illegal boats to save $2.5 billion,2014-05-13,"Morrison, Scott",MINISTER FOR IMMIGRATION AND BORDER PROTECTION,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3165273%22,"http://trove.nla.gov.au/version/211407779
"
Gillard delivers 200 illegal boats and a carbon tax,2012-07-17,"Keenan, Michael","SHADOW MINISTER FOR JUSTICE, CUSTOMS AND BORDER CONTROL",,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2736683%22,"http://trove.nla.gov.au/version/211428879
"
Welcome to Kevin and Wayne's asylum hotel.,2010-05-11,"Morrison, Scott; Liberal Party of Australia",SHADOW MINISTER FOR IMMIGRATION AND CITIZENSHIP,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/JBYW6%22,"http://trove.nla.gov.au/version/211338461
"
Retiring Liberal MP criticises Abbott's Asylum Policy,2013-06-17,"O'Connor, Brendan",MINISTER FOR IMMIGRATION AND CITIZENSHIP,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2529500%22,"http://trove.nla.gov.au/version/211395881
"
Green's compassionate refugee plan will save billions,2013-08-25,Australian Greens,AUSTRALIAN GREENS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2686848%22,"http://trove.nla.gov.au/version/211436183
"
